TECTONIC SETTING,LATITUDE,LONGITUDE,LAND OR SEA,SAMPLE NAME,SIO2(WT%),TIO2(WT%),AL2O3(WT%),Fe2O3T(WT%),CAO(WT%),MGO(WT%),MNO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),Fe2O3T,NI(PPM),CU(PPM),ZN(PPM),SC(PPM),V(PPM),CR(PPM),CO(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM)
OCEANIC PLATEAU,-6.0312,-164.7212,SAQ,s_SO193DR46-1 [15229],49.91,1.14,14.51,6.79,11.63,8.54,0.16,0.32,2.42,0.11,9.62,138.0,89.0,78.3,43.6,316.0,521.0,42.7,4.16,191.0,20.2,35.4,3.16,0.166,105.0,3.18,8.28,1.37,7.38,2.56,1.01,3.35,0.575,3.88,0.792,2.27,0.319,2.1,0.317,1.14,0.51
OCEANIC PLATEAU,-6.7085,-164.1712,SAQ,s_SO193DR47-2 [15229],49.61,0.52,16.03,7.1,8.26,6.19,0.08,1.41,2.4,0.12,11.4,166.0,189.0,231.0,42.6,169.0,1176.0,25.5,28.2,67.5,13.8,37.7,4.88,1.07,47.5,3.52,5.31,0.847,3.92,1.25,0.508,1.85,0.35600000000000004,2.5,0.54,1.65,0.237,1.58,0.22899999999999998,0.6659999999999999,0.444
OCEANIC PLATEAU,-6.9177,-163.7472,SAQ,s_SO193DR49-1 [15229],49.33,0.98,15.21,7.15,7.19,8.28,0.15,0.29,4.44,0.1,9.87,115.0,93.5,121.0,46.6,286.0,305.0,42.0,3.82,194.0,19.1,59.4,3.08,0.209,29.0,3.95,9.61,1.5,7.52,2.41,0.963,3.1,0.5539999999999999,3.65,0.769,2.25,0.32,2.15,0.322,1.54,0.42
OCEAN ISLAND,-0.86,-91.5,SAE,s_G192-11A [1497],47.53,2.002,14.45,14.839,11.37,10.66,0.171,0.33,2.44,0.196,10.52,220.0,83.1,89.07,40.11,323.0,514.0,51.64,7.86,295.0,23.38,122.4,16.58,0.08,89.24,12.02,27.73,3.7,16.84,4.12,1.45,4.55,0.75,4.35,0.88,2.4,0.34,2.08,0.3,2.95,1.01
INTRAPLATE VOLCANICS,39.79,26.3325,SAE,s_EA262 [8708],46.99,2.82,13.01,9.7,10.76,8.38,0.18,1.67,3.49,0.74,11.0,156.0,52.7,108.4,18.9,203.2,239.2,46.8,21.7,788.6,27.3,244.9,65.0,0.8,469.5,36.92,73.49,8.98,39.79,8.13,2.56,7.08,1.07,5.52,0.98,2.21,0.32,1.79,0.25,5.57,3.79
INTRAPLATE VOLCANICS,39.79,26.3325,SAE,s_EA415 [8708],46.07,2.83,13.21,8.96,10.91,9.25,0.16,1.51,3.14,0.76,10.83,168.6,43.5,99.2,18.5,208.5,228.5,47.7,24.1,728.6,25.8,246.5,65.7,1.2,418.6,37.26,74.02,8.79,39.1,8.08,2.52,7.31,1.06,5.33,0.93,2.16,0.32,1.71,0.24,5.52,3.97
INTRAPLATE VOLCANICS,40.35,26.8333,SAE,s_EA254 [8708],45.69,2.78,13.29,11.16,9.96,9.62,0.17,1.57,4.25,0.79,10.91,142.3,47.6,107.0,19.0,200.8,194.6,47.9,16.5,815.7,27.7,247.3,69.0,1.1,455.8,38.68,79.27,9.34,39.59,8.29,2.57,7.39,1.09,5.46,0.97,2.23,0.32,1.83,0.25,5.88,4.06
INTRAPLATE VOLCANICS,39.9333,26.3333,SAE,s_EA249 [8708],49.97,2.58,14.3,11.24,8.74,6.9,0.14,1.63,3.51,0.49,9.62,176.9,13.3,95.5,20.1,200.4,278.6,35.4,17.9,505.9,21.3,185.3,40.4,1.7,245.0,20.0,42.86,5.57,25.36,6.01,1.94,5.85,0.85,4.35,0.77,1.78,0.25,1.47,0.21,4.34,2.18
INTRAPLATE VOLCANICS,40.08,26.83,SAE,s_EA252 [8708],45.68,2.83,13.38,8.88,10.35,9.48,0.17,1.52,3.78,0.82,10.97,146.4,52.2,100.8,22.9,192.0,190.3,50.1,16.9,792.7,25.9,259.0,71.8,0.4,456.6,42.11,82.66,10.0,42.49,8.67,2.76,7.54,1.12,5.77,0.98,2.26,0.33,1.81,0.25,5.93,4.34
INTRAPLATE VOLCANICS,40.08,26.83,SAE,s_EA523 [8708],46.68,2.74,13.46,11.21,9.42,8.78,0.15,1.59,2.91,0.62,10.01,162.2,42.9,93.6,20.0,190.8,328.4,46.0,21.4,619.7,23.5,205.9,48.9,1.9,322.0,29.23,61.32,7.71,32.86,7.35,2.38,6.71,1.01,5.18,0.9,2.05,0.28,1.63,0.23,5.11,3.11
INTRAPLATE VOLCANICS,41.0,27.0,SAE,s_EA510 [8708],45.25,2.79,12.8,11.83,8.79,10.48,0.15,1.97,3.32,0.77,9.31,217.0,46.2,68.4,18.5,161.6,390.0,45.5,24.9,745.9,21.3,214.5,70.7,0.5,348.3,29.76,61.1,7.51,32.27,7.12,2.28,6.42,0.91,4.69,0.83,1.89,0.24,1.39,0.19,4.94,4.01
INTRAPLATE VOLCANICS,41.0,27.0,SAE,s_EA511 [8708],47.83,2.7,13.53,11.14,9.3,7.22,0.16,1.55,3.89,0.58,9.62,126.1,27.7,59.3,20.3,176.8,335.3,44.2,13.3,711.6,22.9,171.8,52.3,0.8,299.4,23.95,50.53,6.27,27.11,6.37,2.01,5.93,0.83,4.22,0.75,1.72,0.23,1.31,0.17,4.28,2.98
INTRAPLATE VOLCANICS,41.0,27.0,SAE,s_EA512 [8708],47.91,2.71,13.74,12.11,9.97,6.79,0.15,1.61,3.87,0.58,9.47,109.4,27.9,54.0,20.1,170.3,287.4,40.5,11.1,783.6,22.0,162.9,47.8,0.7,300.7,23.24,48.72,5.96,25.98,6.2,1.96,5.68,0.8,4.06,0.74,1.71,0.23,1.3,0.17,4.23,2.89
INTRAPLATE VOLCANICS,-30.519080600000002,141.96264490000002,SAE,s_IC9901 [15266],45.5,4.1,15.9,9.27,4.0,2.68,0.12,0.88,6.13,0.68,13.71,11.0,22.0,114.0,16.9,241.0,3.0,28.0,43.0,323.0,33.6,303.0,46.0,2.7,221.0,41.1,84.8,11.7,46.6,10.7,3.2,10.2,1.4,7.3,1.3,3.6,0.5,2.7,0.4,8.4,3.9
INTRAPLATE VOLCANICS,-31.5475767,142.80684680000002,SAE,s_G06_940 [15266],45.1,3.14,13.25,13.13,7.9,4.58,0.156,0.7559999999999999,3.89,0.33799999999999997,13.81,25.1,61.9,129.0,46.5,494.0,20.0,57.3,13.0,295.0,51.7,216.0,17.7,1.09,208.0,18.6,42.7,5.15,23.1,6.09,2.27,7.54,1.52,8.33,1.8,5.03,0.7,4.78,0.66,5.9,1.83
CONVERGENT MARGIN,54.07,159.6,SAE,s_C567 [15280],47.17,0.75,16.17,11.9,10.54,10.3,0.2,0.26,1.92,0.08,12.792,89.0,97.0,86.0,34.0,266.0,113.0,57.0,3.0,307.0,11.0,26.0,0.7,0.18,102.0,2.29,5.88,0.91,4.61,1.35,0.48,1.69,0.3,1.89,0.41,1.16,0.17,1.11,0.17,0.67,0.05
CONVERGENT MARGIN,54.07,159.6,SAE,s_C564 [15280],47.37,0.64,16.22,8.11,10.71,11.1,0.19,0.31,1.81,0.07,12.106,72.0,132.0,80.0,31.0,305.0,67.0,56.0,2.0,285.0,10.0,25.0,0.8,0.11,94.0,1.94,5.38,0.87,4.25,1.4,0.5,1.7,0.31,2.0,0.42,1.17,0.18,1.13,0.16,0.7,0.07
CONVERGENT MARGIN,54.07,159.6,SAE,s_C571B [15280],48.89,0.82,17.38,9.47,10.67,7.94,0.18,0.41,2.39,0.11,11.09,88.0,146.0,92.0,39.0,319.0,126.0,45.0,5.0,396.0,19.0,51.0,1.3,0.28,132.0,4.24,11.12,1.74,8.55,2.45,0.88,2.96,0.5,3.16,0.66,1.93,0.28,1.74,0.27,1.31,0.11
CONVERGENT MARGIN,54.07,159.6,SAE,s_C608 [15280],47.91,0.78,16.81,11.54,9.58,9.63,0.19,0.42,2.23,0.13,12.272,99.0,75.0,83.0,27.0,258.0,102.0,53.0,5.0,349.0,16.0,47.0,1.6,0.29,129.0,4.2,10.8,1.64,8.13,2.14,0.79,2.64,0.43,2.63,0.55,1.6,0.23,1.47,0.23,1.22,0.11
CONVERGENT MARGIN,54.07,159.6,SAE,s_21-99L [15280],48.85,0.81,16.71,18.65,11.1,7.71,0.16,0.4,2.52,0.11,10.831,74.0,124.0,66.0,36.0,262.0,244.0,38.0,5.0,339.0,15.0,47.0,1.6,0.35,118.0,5.66,13.56,1.81,8.21,2.2,0.75,2.51,0.43,2.54,0.53,1.51,0.22,1.44,0.22,1.37,0.14
CONVERGENT MARGIN,54.07,159.6,SAE,s_22-99L [15280],50.73,0.91,17.2,16.38,10.3,6.7,0.17,0.52,2.66,0.23,10.047,59.0,149.0,70.0,35.0,279.0,160.0,38.0,7.0,402.0,17.0,56.0,1.9,0.3,126.0,5.27,12.72,1.84,8.48,2.3,0.79,2.55,0.41,2.61,0.54,1.48,0.22,1.4,0.22,1.55,0.18
CONVERGENT MARGIN,54.07,159.6,SAE,s_16-99L [15280],50.77,1.03,16.7,9.3,9.09,4.74,0.19,0.84,3.47,0.2,14.232000000000001,16.0,144.0,87.0,35.0,320.0,17.0,29.0,9.0,408.0,24.0,64.0,1.9,0.33,202.0,8.04,19.81,2.65,11.98,3.1,1.1,3.53,0.57,3.61,0.72,2.17,0.33,2.17,0.31,1.9,0.16
CONVERGENT MARGIN,54.07,159.6,SAE,s_6-02L [15280],52.06,0.86,16.0,10.77,8.62,4.22,0.19,1.06,3.2,0.2,15.061,22.0,149.0,74.0,32.0,296.0,63.0,26.0,13.0,375.0,23.0,84.0,2.3,0.8,220.0,9.25,21.74,2.82,13.57,3.46,1.18,3.74,0.6,3.56,0.75,2.17,0.33,2.12,0.32,2.34,0.17
CONVERGENT MARGIN,7.7855,134.7665,SAQ,s_INDP-04-5-57 [15303],50.93,0.59,15.9,12.74,9.56,11.42,0.24,0.18,2.68,0.07,9.25,300.0,80.0,80.0,37.0,234.0,870.0,52.0,17.0,131.0,15.8,44.0,0.6,0.005,10.0,2.72,7.24,1.06,5.46,1.58,0.706,2.07,0.41,2.73,0.56,1.7,0.259,1.7,0.275,1.3,0.03
CONVERGENT MARGIN,7.7855,134.7665,SAQ,s_INDP-04- 5-4A [15303],49.38,0.62,17.07,9.64,10.58,11.36,0.12,0.25,2.63,0.06,8.62,180.0,90.0,70.0,44.0,275.0,770.0,40.0,5.0,138.0,11.6,37.0,0.7,0.0,17.0,2.17,5.35,0.91,4.51,1.4,0.578,1.71,0.3,1.94,0.41,1.24,0.185,1.17,0.18100000000000002,1.0,0.73
CONVERGENT MARGIN,7.7855,134.7665,SAQ,s_INDP-04-5-12 [15303],54.03,0.56,15.18,9.46,6.51,10.86,0.15,0.47,4.17,0.09,8.675,170.0,50.0,70.0,30.0,188.0,530.0,36.0,2.7,217.0,17.4,56.0,0.6,0.244,16.0,3.38,8.85,1.24,6.24,1.89,0.66,3.35,0.44,2.84,0.61,1.78,0.29,1.86,0.299,1.6540000000000001,0.057
CONVERGENT MARGIN,7.7855,134.7665,SAQ,s_INDP-04-5-17 [15303],50.73,0.58,16.57,9.87,10.82,10.68,0.26,0.17,2.27,0.06,8.675,200.0,80.0,60.0,42.0,288.0,590.0,43.0,1.0,140.0,12.6,39.0,0.3,0.005,16.0,2.15,5.58,0.87,4.69,1.49,0.606,1.89,0.35,2.29,0.48,1.45,0.215,1.39,0.21600000000000003,1.1,0.005
CONVERGENT MARGIN,7.7855,134.7665,SAQ,s_INDP-04-5-18A [15303],50.96,0.59,16.25,10.46,10.8,10.67,0.14,0.25,2.26,0.06,8.197000000000001,210.0,110.0,60.0,39.0,262.0,734.0,44.0,1.4,131.0,13.0,39.0,0.369,0.057,15.0,1.93,5.4,0.79,4.56,1.4,0.5720000000000001,1.82,0.34,2.24,0.46,1.33,0.218,1.35,0.21600000000000003,1.07,0.036000000000000004
CONVERGENT MARGIN,7.7855,134.7665,SAQ,s_INDP-04-5-14 [15303],50.48,0.63,17.06,12.35,10.51,10.66,0.11,0.24,2.6,0.08,8.283999999999999,180.0,90.0,70.0,44.0,258.0,770.0,40.0,2.0,141.0,11.1,47.0,0.5,0.0,16.0,2.26,5.55,0.82,4.34,1.4,0.609,1.72,0.3,1.93,0.41,1.24,0.183,1.17,0.168,1.2,0.7
CONVERGENT MARGIN,7.7855,134.7665,SAQ,s_INDP-04-5-18B [15303],50.81,0.58,16.3,11.67,10.69,10.65,0.27,0.23,2.25,0.06,8.881,200.0,110.0,60.0,42.0,283.0,700.0,44.0,1.4,140.0,12.9,39.0,0.3,0.057,18.0,2.14,5.4,0.89,4.73,1.53,0.599,1.9,0.38,2.34,0.49,1.47,0.21899999999999997,1.42,0.222,1.068,0.036000000000000004
CONVERGENT MARGIN,7.7855,134.7665,SAQ,s_INDP-04-5-42 [15303],50.85,0.58,16.28,15.05,10.61,10.65,0.13,0.2,2.24,0.06,8.392000000000001,190.0,90.0,70.0,40.0,276.0,730.0,41.0,2.0,134.0,13.0,41.0,0.0,0.005,17.0,2.47,6.14,0.96,4.97,1.55,0.6579999999999999,1.87,0.37,2.38,0.49,1.44,0.21600000000000003,1.4,0.215,1.3,0.005
CONVERGENT MARGIN,7.5,134.475,SAE,s_BA-06-7-C [15303],50.98,0.46,15.67,8.79,13.16,8.29,0.17,0.29,1.66,0.06,9.185,80.0,30.0,70.0,51.0,292.0,330.0,33.0,2.65,175.0,15.7,23.0,3.645,0.061,58.0,2.45,5.172000000000001,0.76,3.95,1.26,0.539,1.83,0.36,2.39,0.51,1.53,0.231,1.56,0.24600000000000002,0.955,0.38299999999999995
INTRAPLATE VOLCANICS,-36.9,174.87,SAE,s_59266 [15387],48.69,2.04,14.51,9.75,9.42,8.41,0.17,0.74,3.28,0.29,11.19,141.94,55.25,82.16,27.95,239.38,315.67,53.09,10.95,366.28,19.81,139.64,15.99,0.36,107.34,13.67,29.43,3.99,17.64,4.4,1.54,4.77,0.66,4.29,0.81,2.1,0.31,1.79,0.25,3.51,1.11
INTRAPLATE VOLCANICS,-36.9,174.87,SAE,s_59268 [15387],49.11,1.86,13.98,9.934,8.58,9.13,0.16,0.69,3.15,0.26,11.82,188.95,49.68,81.26,28.23,229.98,362.93,78.43,10.8,305.93,19.33,123.3,14.23,0.38,94.34,11.76,25.13,3.38,16.16,4.04,1.41,4.66,0.68,4.16,0.76,2.09,0.3,1.76,0.25,3.18,1.05
INTRAPLATE VOLCANICS,-36.9,174.87,SAE,s_59270 [15387],46.3,1.73,13.15,10.26,8.75,10.41,0.2,0.89,4.19,0.24,12.38,176.87,58.7,94.34,25.7,211.35,330.07,51.44,11.52,308.08,18.07,113.44,13.19,0.34,93.53,11.06,23.86,3.18,15.34,3.78,1.32,4.16,0.61,3.76,0.7,1.97,0.27,1.59,0.23,3.05,0.86
INTRAPLATE VOLCANICS,-36.9,174.87,SAE,s_59271 [15387],48.97,1.85,13.91,9.25,9.14,9.37,0.17,0.62,2.72,0.26,11.61,197.64,66.21,86.4,27.79,225.09,355.74,63.81,10.04,315.92,19.42,121.05,14.96,0.33,94.75,12.2,25.79,3.45,15.96,4.15,1.37,4.12,0.64,4.07,0.78,2.05,0.31,1.89,0.25,3.19,1.03
INTRAPLATE VOLCANICS,-36.9,174.87,SAE,s_59274 [15387],48.87,2.05,14.63,8.816,9.33,8.07,0.17,0.72,3.33,0.29,11.21,139.07,57.03,86.23,28.44,234.72,289.53,54.59,10.9,361.79,20.84,145.82,16.23,0.37,105.79,13.67,29.12,3.98,18.17,4.67,1.58,4.79,0.7,4.29,0.84,2.3,0.3,1.74,0.25,3.83,1.11
INTRAPLATE VOLCANICS,-36.9,174.87,SAE,s_59276 [15387],48.6,1.83,13.79,8.773,9.11,9.65,0.17,0.64,3.07,0.25,11.47,201.17,62.41,87.09,28.08,221.16,353.17,58.5,10.53,319.05,19.67,124.32,15.18,0.35,101.22,12.4,25.97,3.47,16.17,4.04,1.39,4.32,0.64,4.12,0.81,2.16,0.32,1.8,0.26,3.2,1.07
INTRAPLATE VOLCANICS,-36.9,174.87,SAE,s_59277 [15387],48.83,2.0,14.58,10.16,9.4,8.37,0.16,0.72,3.28,0.28,11.13,141.97,60.99,88.07,28.41,230.84,310.97,51.76,10.98,365.1,20.36,141.38,15.76,0.36,107.22,13.48,28.96,3.91,18.32,4.58,1.58,4.58,0.7,4.21,0.81,2.25,0.3,1.9,0.26,3.54,1.13
INTRAPLATE VOLCANICS,-36.9,174.87,SAE,s_59278 [15387],48.77,1.97,14.34,8.954,9.25,8.69,0.17,0.68,3.22,0.27,11.28,161.11,65.25,87.44,27.83,229.75,314.78,52.97,10.54,340.14,19.91,132.52,15.05,0.31,100.42,12.98,27.29,3.77,16.94,4.43,1.45,4.51,0.71,4.27,0.81,2.11,0.28,1.84,0.26,3.37,1.03
INTRAPLATE VOLCANICS,-36.9,174.87,SAE,s_59279 [15387],48.49,1.99,14.25,10.607999999999999,9.26,8.61,0.17,0.68,3.22,0.28,11.28,158.82,64.67,94.86,27.85,229.74,309.66,51.62,9.69,344.94,20.46,138.21,15.4,0.32,100.7,13.01,27.97,3.7,17.71,4.57,1.54,4.58,0.7,4.39,0.81,2.19,0.29,1.83,0.27,3.56,1.08
INTRAPLATE VOLCANICS,-36.9,174.87,SAE,s_59280 [15387],48.7,1.84,13.89,9.05,9.08,9.6,0.17,0.64,3.11,0.25,11.4,198.56,93.82,90.89,27.02,216.01,334.43,55.5,9.84,311.52,19.18,130.39,13.56,0.33,93.91,11.7,25.15,3.37,15.55,4.01,1.37,4.32,0.65,4.06,0.77,2.03,0.26,1.69,0.26,3.14,0.97
INTRAPLATE VOLCANICS,-36.9,174.87,SAE,s_59282 [15387],48.79,1.97,14.47,9.07,9.29,8.6,0.17,0.68,3.24,0.28,11.26,153.19,62.05,86.74,27.25,228.66,301.98,51.81,9.33,341.74,19.61,129.86,14.84,0.32,98.58,12.85,27.28,3.68,17.16,4.29,1.53,4.4,0.68,4.24,0.74,2.05,0.31,1.74,0.25,3.33,1.02
INTRAPLATE VOLCANICS,-36.9,174.87,SAE,s_59283 [15387],48.72,1.97,14.45,9.12,9.3,8.52,0.17,0.69,3.23,0.28,11.22,152.33,92.89,89.23,27.64,229.08,309.06,52.96,9.72,342.76,20.07,136.6,15.18,0.34,98.63,12.98,27.27,3.71,17.34,4.43,1.5,4.62,0.69,4.31,0.75,2.11,0.29,1.84,0.27,3.43,1.0
INTRAPLATE VOLCANICS,-36.9,174.87,SAE,s_59285 [15387],48.62,1.91,14.31,9.1,9.25,8.94,0.17,0.66,3.19,0.26,11.23,171.05,51.0,85.23,27.99,225.39,323.95,56.73,8.91,339.24,19.62,127.82,14.56,0.31,96.39,12.54,26.33,3.52,16.49,4.27,1.44,4.5,0.68,4.1,0.76,2.04,0.3,1.64,0.27,3.42,1.01
INTRAPLATE VOLCANICS,-36.9,174.87,SAE,s_59286 [15387],48.61,1.87,14.35,9.47,9.32,8.94,0.16,0.65,3.16,0.26,11.08,172.44,175.15,85.15,27.53,221.72,330.95,52.39,9.16,339.77,19.24,125.58,14.11,0.34,95.94,12.2,25.68,3.5,16.02,4.17,1.41,4.42,0.65,4.12,0.8,1.98,0.29,1.87,0.23,3.32,0.97
INTRAPLATE VOLCANICS,-36.9,174.87,SAE,s_59287 [15387],48.77,1.79,13.91,9.9,9.11,9.3,0.17,0.59,3.11,0.24,11.39,186.39,62.12,89.03,27.39,213.67,358.72,57.15,9.17,299.63,19.4,116.5,13.29,0.31,89.29,11.57,24.21,3.31,15.49,3.89,1.28,4.32,0.64,4.07,0.75,2.03,0.29,1.85,0.26,3.06,0.95
INTRAPLATE VOLCANICS,-36.9,174.87,SAE,s_59288 [15387],48.71,1.88,14.07,9.26,9.15,9.08,0.17,0.67,3.16,0.26,11.2,179.14,58.89,87.18,27.71,223.61,344.73,53.57,10.28,328.4,19.72,127.11,14.19,0.37,100.5,12.44,26.47,3.56,16.64,4.37,1.47,4.4,0.7,4.25,0.78,2.07,0.29,1.8,0.27,3.16,0.99
INTRAPLATE VOLCANICS,-36.9,174.87,SAE,s_59289 [15387],48.68,1.87,14.01,9.11,9.15,9.15,0.17,0.67,3.15,0.26,11.2,184.33,50.55,85.77,27.81,223.31,352.85,53.48,10.11,324.02,19.35,127.59,14.23,0.35,98.66,12.2,26.02,3.44,16.23,3.93,1.47,4.38,0.69,4.1,0.76,2.04,0.28,1.9,0.27,3.33,0.98
INTRAPLATE VOLCANICS,-36.9,174.87,SAE,s_59290 [15387],48.51,1.9,13.82,9.26,9.08,9.19,0.17,0.68,3.16,0.26,11.32,183.83,69.94,88.76,27.64,224.82,347.5,55.35,10.19,322.3,19.84,128.49,14.27,0.34,101.13,12.54,26.54,3.52,16.89,4.18,1.45,4.49,0.66,4.26,0.78,2.09,0.31,1.87,0.26,3.18,0.94
INTRAPLATE VOLCANICS,-36.9,174.87,SAE,s_59291 [15387],48.09,2.03,14.36,9.26,9.35,8.21,0.17,0.7,3.25,0.28,11.19,144.33,56.35,85.51,27.38,231.24,285.09,53.47,10.02,352.4,19.74,135.67,15.76,0.3,101.85,13.23,28.0,3.84,17.59,4.38,1.46,4.71,0.65,4.11,0.83,2.16,0.3,1.77,0.27,3.64,1.09
INTRAPLATE VOLCANICS,-36.9,174.87,SAE,s_59293 [15387],48.65,1.8,14.03,9.09,9.17,9.38,0.17,0.64,3.14,0.25,11.16,188.82,71.42,88.16,27.78,219.97,359.01,55.76,11.03,329.78,18.97,130.34,13.86,0.37,99.18,11.86,25.48,3.47,16.07,3.92,1.41,4.21,0.61,4.03,0.76,2.02,0.29,1.75,0.25,3.36,0.95
INTRAPLATE VOLCANICS,-36.9,174.87,SAE,s_59294 [15387],48.76,1.87,13.92,9.36,9.06,9.28,0.17,0.67,3.16,0.26,11.34,192.46,83.02,89.9,27.84,228.55,348.78,58.51,11.61,330.23,20.33,137.28,14.54,0.33,102.64,12.76,26.54,3.75,16.98,4.31,1.48,4.55,0.68,4.25,0.82,2.27,0.31,1.88,0.27,3.6,1.0
INTRAPLATE VOLCANICS,-36.9,174.87,SAE,s_59295 [15387],48.63,1.84,13.87,9.14,9.03,9.42,0.17,0.66,3.09,0.25,11.32,196.51,64.72,87.97,27.38,220.62,343.05,56.82,10.22,321.99,19.37,124.58,14.08,0.36,99.86,12.25,25.71,3.49,16.13,4.03,1.41,4.5,0.67,4.0,0.78,2.02,0.3,1.88,0.27,3.31,0.99
INTRAPLATE VOLCANICS,-36.9,174.87,SAE,s_59296 [15387],48.63,1.85,14.11,9.04,9.19,9.11,0.17,0.66,3.13,0.25,11.16,184.05,69.31,90.19,27.91,222.42,348.33,54.36,9.83,331.61,19.18,125.53,13.98,0.35,100.02,12.16,26.03,3.49,16.36,4.04,1.42,4.42,0.63,4.14,0.74,2.04,0.28,1.73,0.26,3.3,0.97
INTRAPLATE VOLCANICS,-36.9,174.87,SAE,s_59297 [15387],48.71,1.87,13.95,9.34,9.29,9.19,0.17,0.66,3.1,0.25,11.17,184.65,68.88,89.39,28.12,223.79,402.68,57.95,10.1,325.66,19.37,126.41,14.03,0.37,98.93,12.15,25.95,3.41,16.6,4.03,1.4,4.5,0.66,4.3,0.74,2.02,0.31,1.74,0.24,3.35,1.01
INTRAPLATE VOLCANICS,-36.9,174.87,SAE,s_59298 [15387],48.58,1.79,14.03,11.19,9.17,9.48,0.17,0.63,3.07,0.24,11.11,196.96,85.17,103.51,27.65,220.5,374.04,59.01,9.96,330.43,18.61,123.29,13.38,0.37,96.57,11.76,24.97,3.4,15.25,4.0,1.38,4.17,0.61,3.97,0.77,1.95,0.27,1.64,0.25,3.17,0.96
INTRAPLATE VOLCANICS,-36.9,174.87,SAE,s_59299 [15387],48.57,1.74,13.83,11.82,9.05,9.5,0.17,0.58,3.07,0.23,11.35,204.08,68.26,104.55,27.1,213.65,356.75,56.75,9.64,301.1,18.58,111.6,13.14,0.32,87.05,11.23,23.8,3.14,14.87,3.79,1.37,4.09,0.62,4.05,0.71,1.97,0.28,1.68,0.24,2.9,0.89
INTRAPLATE VOLCANICS,-36.9,174.87,SAE,s_59300 [15387],48.38,1.77,13.45,12.38,8.89,10.41,0.17,0.64,2.87,0.24,11.72,229.85,67.19,104.05,28.45,218.61,393.48,64.7,9.94,313.42,19.23,128.51,13.49,0.32,94.46,11.66,24.64,3.28,15.62,4.05,1.38,4.39,0.62,4.08,0.77,2.07,0.28,1.83,0.24,3.11,1.01
INTRAPLATE VOLCANICS,-36.9,174.87,SAE,s_59301 [15387],48.57,1.77,13.52,11.61,9.03,10.49,0.17,0.61,2.72,0.24,11.69,230.91,69.68,106.13,28.65,218.22,409.15,76.52,9.84,317.82,18.81,126.57,13.69,0.34,97.37,11.69,24.8,3.37,15.41,4.1,1.38,4.25,0.68,3.89,0.78,2.13,0.29,1.73,0.26,3.22,1.03
INTRAPLATE VOLCANICS,-36.9,174.87,SAE,s_59302 [15387],48.36,1.7,12.85,11.21,8.79,11.63,0.17,0.61,2.38,0.24,11.93,263.03,54.37,99.87,28.39,213.83,444.15,71.42,9.45,297.57,18.17,117.05,12.75,0.33,91.34,11.15,23.43,3.2,15.16,3.74,1.32,3.92,0.62,3.93,0.76,1.91,0.24,1.63,0.25,3.17,1.0
INTRAPLATE VOLCANICS,-36.9,174.87,SAE,s_59303 [15387],47.47,1.58,11.86,11.47,8.13,13.84,0.18,0.54,2.31,0.22,12.56,334.26,45.23,85.9,26.76,195.71,414.5,75.02,8.12,266.97,16.86,106.14,11.68,0.3,79.76,10.15,21.09,2.84,13.64,3.59,1.2,3.86,0.59,3.64,0.66,1.7,0.24,1.51,0.22,2.73,0.82
INTRAPLATE VOLCANICS,-36.9,174.87,SAE,s_59304 [15387],48.75,1.86,13.93,11.13,9.12,9.41,0.17,0.67,2.69,0.26,11.46,185.43,79.9,88.51,27.54,219.11,347.43,65.36,10.33,322.97,19.01,123.39,14.03,0.35,98.63,12.29,25.5,3.39,16.2,4.02,1.39,4.51,0.66,4.15,0.74,1.92,0.28,1.81,0.24,3.13,0.99
INTRAPLATE VOLCANICS,-36.9,174.87,SAE,s_59305 [15387],49.09,1.93,14.7,11.28,9.16,8.59,0.17,0.67,3.04,0.27,11.32,158.84,54.6,86.13,27.32,223.81,273.62,55.19,9.87,343.63,19.72,129.21,14.93,0.34,98.26,12.8,26.71,3.63,16.7,4.24,1.43,4.59,0.68,4.18,0.74,2.11,0.3,1.71,0.24,3.24,1.03
INTRAPLATE VOLCANICS,-36.9,174.87,SAE,s_59307 [15387],45.08,2.37,12.56,11.4,10.08,11.37,0.18,1.0,2.94,0.42,12.57,211.85,57.85,86.24,26.72,236.37,381.83,68.4,14.36,493.61,20.5,163.58,44.44,0.25,202.57,26.81,49.29,6.14,26.48,5.89,1.89,5.78,0.79,4.67,0.81,2.09,0.29,1.59,0.24,4.22,3.02
INTRAPLATE VOLCANICS,-36.9,174.87,SAE,s_59309 [15387],48.6,1.83,13.84,11.22,9.2,9.79,0.17,0.65,3.05,0.26,11.57,209.29,71.2,91.27,28.34,221.26,372.98,66.16,10.96,333.93,20.21,127.81,17.28,0.37,109.12,14.06,27.93,3.76,17.21,4.49,1.45,4.69,0.66,4.16,0.82,2.21,0.31,1.91,0.26,3.32,1.21
