TECTONIC SETTING,LATITUDE,LONGITUDE,LAND OR SEA,SAMPLE NAME,SIO2(WT%),TIO2(WT%),AL2O3(WT%),Fe2O3T(WT%),CAO(WT%),MGO(WT%),MNO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),Fe2O3T,NI(PPM),CU(PPM),ZN(PPM),SC(PPM),V(PPM),CR(PPM),CO(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM)
OCEAN ISLAND,65.6322,-16.7874,SAE,s_A54 [19680],49.30622189,1.893798591,13.06215089,6.68,9.793389049,5.426442271,0.23908091199999998,0.37102183,2.33426301,0.184518878,14.14,50.79162207,169.6057129,90.89700266,42.50105664,404.6651706,27.44778935,59.35150577,7.393168781,149.928348,33.69590964,117.84423819999999,11.50799668,0.10007875599999999,94.21007985,10.31762226,25.13736551,3.327252347,16.28049965,4.306757596000001,1.616435976,5.875139756,0.8210478390000001,6.229065417999999,1.197064004,3.51298702,0.578117545,3.641428779,0.50443349,3.132644275,0.733702297
OCEAN ISLAND,65.6309,-16.7882,SAE,s_A17 [19680],49.33923735,1.842119944,13.3236089,7.48,10.05523553,5.62362694,0.24019020800000002,0.342419925,2.333418097,0.172698745,14.11,51.90124963,191.8690866,86.92276153,45.25079635,390.6839593,25.67536885,71.72158754,7.013312485,147.3898995,34.65618793,114.99234679999999,9.11779089,0.0666,88.09356382,9.82495976,23.23852148,3.167593218,14.94397537,4.53401722,1.4471943409999999,5.677459793,0.946455873,6.2625667510000005,1.190220806,3.9340582439999996,0.548307904,3.792362872,0.547676684,3.388931553,0.489652606
OCEAN ISLAND,65.5556,-16.8126,SAE,s_A67 [19680],48.90033247,1.076231435,14.92088855,10.18,12.14817389,7.854199622,0.20509128199999999,0.123453005,1.722368532,0.0986,11.41,73.06559652,158.4064656,77.453808,40.84849146,282.8731727,105.9908892,62.61175367,2.072563367,109.04715390000001,20.30774821,59.80582195,5.294537151,0.0679,33.53832621,4.300933691,11.84446471,1.663227825,8.693815752999999,2.7102921610000004,1.03760292,3.335010602,0.57917478,3.953852848,0.676769272,2.286248771,0.341178415,1.8204808819999998,0.33052835,1.65740819,0.49215831200000004
OCEAN ISLAND,65.5845,-16.8031,SAE,s_A4 [19680],49.12733774,1.049653482,14.92324842,7.54,10.85201483,6.860764242,0.199463785,0.258710454,2.06770874,0.13231756,10.76,89.94173508,210.1185747,76.1949474,36.09399106,254.42386659999997,97.77715059,75.67821496,4.85239543,112.0099972,22.23451769,90.32875759,7.710978315,0.046,60.10465736,7.7925716320000005,20.0511552,2.601246411,12.389868199999999,3.05712275,1.03079376,4.378828073999999,0.661065161,4.106347835,0.9537950890000001,2.140382883,0.334548442,2.353809762,0.38872111299999995,2.128054585,0.46537499
OCEAN ISLAND,65.6302,-16.7953,SAE,s_A16 [19680],49.94375553,1.1457620000000002,14.98141657,13.76,11.43750127,7.234697372,0.19917548399999999,0.229353587,2.133591925,0.126748035,11.25,85.72711020000001,128.3327587,70.43647756,39.8206898,280.515902,82.9932401,49.94856404,4.246423506,120.02061450000001,24.78944169,85.98023422,7.173489357,0.0306,53.87481739,6.937387217,17.23189357,2.3747295409999998,11.80013226,3.041194561,1.351066267,4.017131496,0.639806019,4.249130611,1.005228405,2.523869341,0.42552642,2.9815388560000002,0.33442092,2.414983545,0.46214335799999995
OCEAN ISLAND,65.5734,-16.8144,SAE,s_A62 [19680],48.92649264,1.0112436340000002,14.82759594,13.79,12.20253872,7.921905636,0.194890612,0.132247201,1.833562695,0.0895,11.07,46.17779682,158.96160480000003,91.92572121,38.58211145,356.765881,24.0310105,52.9545478,6.715319976,160.44368889999998,28.46690592,98.24457496,12.62797273,0.145274694,82.90961633,9.109864726,22.03418801,3.071389192,14.21347165,3.9225113819999997,1.2441865029999999,4.6253019019999995,0.79123184,5.36040871,1.046628618,3.683778437,0.5520429379999999,3.181537945,0.489445336,2.4268175,0.7276529
OCEAN ISLAND,65.6075,-16.8009,SAE,s_A48 [19680],49.06633676,1.0280298079999999,14.82511345,14.61,12.32330654,8.076659967000001,0.20379887800000002,0.113444696,1.9215322780000001,0.089350247,11.56,103.85927149999999,143.8465421,72.20166098,42.31498596,286.367521,65.08399814,52.49134472,1.872665003,100.438035,19.66372992,51.45595671,4.275726488,0.0269,27.62201621,3.758399148,9.623828926,1.392549658,6.572230075,2.05774785,0.9282993070000001,2.708625898,0.5180200739999999,3.861489338,0.671633875,2.052391998,0.34996366100000004,2.129733808,0.422440041,1.60208734,0.298361508
OCEAN ISLAND,65.5718,-16.8151,SAE,s_A63 [19680],49.07092009,0.999064211,14.7933364,14.12,12.431911900000001,7.988521425,0.197617097,0.12775246699999998,1.8164803840000001,0.0978,11.12,99.62440013,199.9591679,64.01045628,43.11166226,277.9443404,114.36356229999998,79.29757326,2.301011232,111.8748311,21.45765211,57.73133319,4.3087498989999995,0.0331,30.37179892,4.357359173,10.55088459,1.4410810459999999,7.918851717999999,2.8954071630000002,0.9715583959999999,2.99602174,0.627596742,3.568270798,0.7567557079999999,1.945139925,0.335810832,2.3227957000000004,0.357825315,1.626901596,0.239986072
OCEAN ISLAND,65.6325,-16.7943,SAE,s_A15 [19680],51.55034359,1.3572494169999998,14.98101745,8.94,9.911942222999999,5.932688007,0.21112768699999998,0.37198687700000005,2.690369955,0.23324582600000002,11.89,61.75901276,125.21705060000001,77.30102416,35.60943727,253.5553341,12.82956667,46.3478896,6.3700613829999995,140.62277619999998,37.58581865,161.9703922,12.68052533,0.0779,84.97842759,12.93534042,30.33557936,4.079654917,19.52991871,4.836608078,1.452610745,6.19400577,0.828010318,7.283232685,1.364485406,4.169375837,0.46384436100000004,3.989946621,0.601674947,3.82630732,1.022021123
OCEAN ISLAND,65.5973,-16.8115,SAE,s_A42 [19680],48.908632700000005,1.004109656,14.71295402,12.649000000000001,12.07529283,7.685185543999999,0.193828133,0.154862683,1.8873265069999998,0.104906979,10.96,86.80622212,161.0319137,63.69368352,38.49882998,268.3964041,75.66474142,58.42269654,2.70219552,106.70568459999998,20.60815121,64.89871333,5.508154758,0.0423,38.39972029,5.033512572,12.99251161,1.747081811,8.631898648,2.73889168,0.7197830540000001,2.330321438,0.509475758,3.215823015,0.73267608,2.106600137,0.38340578799999997,1.87101452,0.304553536,1.184263983,0.403741821
